categoria,nome,sigla,valor_ref_min,valor_ref_max,unidade,interpretacao_alta,interpretacao_baixa,doencas_associadas_alta,doencas_associadas_baixa
Hepático,Alanina Aminotransferase,ALT,7,56,U/L,"Lesão hepatocelular aguda ou crônica","Raro; pode indicar deficiência de piridoxina","Hepatite viral, Cirrose, Esteatose hepática, Hepatotoxicidade por medicamentos","Deficiência de vitamina B6"
Hepático,Aspartato Aminotransferase,AST,10,40,U/L,"Dano hepático ou muscular","Raro","Hepatite, Infarto do miocárdio, Miopatias, Cirrose","—"
Hepático,Gama-Glutamiltransferase,GGT,9,48,U/L,"Colestase, uso de álcool ou medicamentos","Não clinicamente significativo","Doença hepática alcoólica, Colestase, Uso de anticonvulsivantes","—"
Hepático,Bilirrubina Total,BT,0.2,1.2,mg/dL,"Icterícia, disfunção hepática ou hemólise","Não clinicamente significativo","Hepatite, Cirrose, Anemia hemolítica, Obstrução biliar","—"
Renal,Creatinina,CREA,0.6,1.2,mg/dL,"Redução da função renal","Baixa massa muscular","Doença renal crônica, Insuficiência renal aguda, Desidratação","Desnutrição, Sarcopenia"
Renal,Ureia,UREIA,15,40,mg/dL,"Hipercatabolismo proteico ou disfunção renal","Desnutrição proteica ou insuficiência hepática grave","Doença renal, Dieta hiperproteica, Desidratação","Desnutrição, Doença hepática grave"
Renal,Ácido Úrico,AU,3.4,7.0,mg/dL,"Hiperuricemia, risco de gota","Raros distúrbios enzimáticos","Gota, Síndrome metabólica, Lúpus, Insuficiência renal","Síndrome de Fanconi, uso de alopurinol"
Glicêmico,Glicose em Jejum,GLI,70,99,mg/dL,"Hiperglicemia; risco de diabetes","Hipoglicemia","Diabetes Mellitus tipo 1 e 2, Síndrome de Cushing, Pancreatite","Insulinoma, uso de insulina, Insuficiência adrenal"
Glicêmico,Hemoglobina Glicada,HbA1c,4.0,5.6,%,"Controle glicêmico ruim nos últimos 3 meses","Hipoglicemia crônica ou anemia hemolítica","Diabetes Mellitus mal controlado","Anemia hemolítica, Hemoglobinopatias"
Lipídico,Colesterol Total,CT,0,200,mg/dL,"Dislipidemia; risco cardiovascular elevado","Desnutrição ou hipertireoidismo","Aterosclerose, Doença coronariana, Hipotireoidismo","Desnutrição, Hipertireoidismo, Má absorção"
Lipídico,HDL Colesterol,HDL,40,60,mg/dL,"Protetor cardiovascular","Risco cardiovascular aumentado","—","Síndrome metabólica, Sedentarismo, Tabagismo"
Lipídico,LDL Colesterol,LDL,0,130,mg/dL,"Risco cardiovascular elevado","Hipertireoidismo ou desnutrição","Aterosclerose, Doença coronariana, AVC","Hipertireoidismo, Desnutrição"
Lipídico,Triglicerídeos,TG,0,150,mg/dL,"Hipertrigliceridemia; risco de pancreatite","Desnutrição","Síndrome metabólica, Pancreatite, Diabetes tipo 2","Desnutrição, Hipertireoidismo"
Eletrólito,Sódio,Na,136,145,mEq/L,"Hipernatremia; desidratação","Hiponatremia; retenção de água","Desidratação, Diabetes insipidus, Hiperaldosteronismo","Insuficiência cardíaca, Síndrome de Schwartz-Bartter, Vômitos"
Eletrólito,Potássio,K,3.5,5.0,mEq/L,"Hipercalemia; risco de arritmias","Hipocalemia; fraqueza muscular e arritmias","Insuficiência renal, Acidose metabólica, Uso de IECA","Vômitos, Diarreia, Uso de diuréticos, Alcalose metabólica"
Eletrólito,Cloro,Cl,98,106,mEq/L,"Acidose metabólica hiperclorêmica","Alcalose metabólica ou hipoclorêmica","Diarreia, Acidose tubular renal","Vômitos, Uso de diuréticos, Insuficiência adrenal"
Eletrólito,pH Sanguíneo,pH,7.35,7.45,unidades,"Alcalose (respiratória ou metabólica)","Acidose (respiratória ou metabólica)","Hiperventilação, Vômitos, Aldosteronismo","DPOC, Insuficiência renal, Cetoacidose diabética"
Cardíaco,CK-MB,CKMB,0,25,U/L,"Lesão miocárdica aguda","Não clinicamente significativo","Infarto agudo do miocárdio, Miocardite, Contusão cardíaca","—"
Cardíaco,Troponina I,TropI,0,0.04,ng/mL,"Lesão miocárdica altamente específica","Não clinicamente significativo","Infarto agudo do miocárdio, Angina instável, Miocardite","—"
Cardíaco,Lactato Desidrogenase,LDH,140,280,U/L,"Dano tecidual inespecífico","Não clinicamente significativo","Infarto do miocárdio, Anemia hemolítica, Hepatite, Neoplasias","—"
